"copy_id","severity","route","surface","state","viewport","source_path","line","exact_copy","speaker","authority_class","copy_role","anti_pattern","repetition_key","occurrence_count","issue","user_consequence","disposition","replacement_copy","acceptance_test","evidence_status"
"CP046","High","#/compare","Chooser","Default","All","src/ui/pages/ComparePage.tsx","","Choose the comparison you want to make","Control Atlas","Navigation note","Heading","Vague action","choose-comparison","1","Large chooser does not advance after selection.","False affordance.","Replace","Compare","Compact mode tabs reveal required inputs immediately.","Live"
"CP047","Pass","#/compare","Mode card","Default","All","src/ui/pages/ComparePage.tsx","","Framework to framework","Control Atlas","Navigation","Mode label","None","framework-compare","1","Clear intent label.","None.","Keep","Frameworks","Selected mode reveals two framework fields and mapping-source scope.","Live"
"CP048","Medium","#/compare","Mapping explanation","Default","All","src/ui/pages/ComparePage.tsx","","Candidate mapping","System","System status","Badge","Jargon","candidate-mapping","multiple","Repeated without a concise page-level definition and validation boundary.","Users cannot tell whether it is official, inferred, or editorial.","Replace","Candidate — validate independently","Provenance, generation method, limitation, and cited source appear once per result.","Code-derived"
"CP049","High","#/learn","Recommendation heading","Empty","All","src/ui/pages/PlaybooksPage.tsx","","Recommended for new users","Control Atlas","Product interpretation","Heading","Patronizing expertise label","new-users","1","Labels users and recommends nothing on an empty product.","Patronizing and visibly unfinished.","Delete","","No audience-expertise labels appear; Learn leads with available explanation topics.","Live"
"CP050","High","#/learn","Empty state","Empty","All","src/ui/pages/PlaybooksPage.tsx","","No public playbooks are available yet.","System","System status","Empty state","Half-baked feature","no-playbooks","1","An empty product is globally exposed.","Dead end.","Replace","Learn is being rebuilt. Use Catalog for official reference or Build for working resources.","Until real content ships, route or compact notice gives two useful exits.","Live"
"CP051","High","#/build","Page intro","Default","All","src/ui/pages/TemplatesPage.tsx","","Choose the work","Control Atlas","Navigation note","Eyebrow","Platitude or slogan","choose-work","1","Abstract framing adds no information.","Contributes to repetitive card scaffolding.","Delete","","Build opens with three concrete lanes.","Live"
"CP052","High","#/build","Page heading","Default","All","src/ui/pages/TemplatesPage.tsx","","Start with a task","Control Atlas","Navigation note","Heading","Platitude or slogan","start-task","1","Generic heading does not explain Build's distinct outputs.","Users must scan ten cards to find documents or Resources.","Replace","Build","Three first-screen lanes: Tasks, Starter documents, Resources.","Live"
"CP053","High","#/build","Page lede","Default","All","src/ui/pages/TemplatesPage.tsx","","Pick the outcome you are working toward — you do not need to know the document name.","Control Atlas","Navigation note","Lede","Patronizing or presumptive","pick-outcome","1","Presumes users do not know document names and promises outcome-led routing.","Working practitioners can feel talked down to.","Replace","Open a task, configure a starter document, or find an external resource.","Concrete lanes support both known-item and task-led entry.","Live"
"CP054","Critical","#/build","Baseline field","Unselected","All","src/ui/pages/TemplatesPage.tsx","","Moderate","System","System status","Default value","Determination claim","default-moderate","1","A baseline is silently defaulted and can enter generated output.","Product can appear to select applicability.","Replace","No baseline selected","Generation fails closed until the user explicitly selects or omits a baseline.","Code-derived"
"CP055","Medium","#/build/resources","Loading panel","Cold load","All","src/ui/components/LoadStatusPanel.tsx","","Explore playbooks","Control Atlas","Navigation","Fallback action","Stale vocabulary","stale-loading","1","Playbooks is a retired/empty product name.","Loading state points to stale architecture.","Replace","Browse Learn","Every fallback uses canonical destinations.","Live+Code-derived"
"CP056","Medium","#/build/resources","Loading panel","Cold load","All","src/ui/components/LoadStatusPanel.tsx","","Templates","Control Atlas","Navigation","Fallback action","Destination identity mismatch","stale-loading","1","Canonical destination is Starter documents under Build.","Reintroduces parallel vocabulary.","Replace","Starter documents","Label and route agree with Build lane.","Live+Code-derived"
"CP057","High","#/build/resources","Loading panel","Cold load","All","src/ui/components/LoadStatusPanel.tsx","","Get a recommendation","Control Atlas","Product interpretation","Fallback action","Determination or recommendation claim","recommendation","multiple","Product cannot recommend applicable frameworks or baselines.","Can imply product judgment.","Replace","Browse source starting points","Action navigates without a recommendation claim.","Live+Code-derived"
"CP058","Medium","#/build/resources","Page tagline","Loaded","All","src/ui/pages/CommonsPage.tsx","","Official sources. Working tools. Practitioner knowledge.","Control Atlas","Product interpretation","Tagline","Repetitive tagline","resource-tagline","1","Three-fragment slogan duplicates filters and blurs Sources with Resources.","Weakens Sources/Resources distinction.","Replace","Tools, templates, datasets, training, and communities outside the Control Atlas source register.","One sentence defines scope and boundary.","Code-derived"
"CP059","Medium","#/build/resources","Page intro","Loaded","All","src/ui/pages/CommonsPage.tsx","","Practical Tools & Community","Control Atlas","Navigation","Heading","Generic marketing","practical-tools","1","Capitalized generic label omits datasets, training, and templates.","Users cannot predict the directory scope.","Replace","Resources","Canonical destination label followed by type filters.","Code-derived"
"CP060","Medium","#/build/resources","Resource card","Loaded","All","src/ui/components/CommonsResourceCard.tsx","","Why it is useful","Control Atlas","Product interpretation","Heading","Generic filler","why-useful","many","Repeats on every card and invites ungrounded endorsement.","Cards become long and promotional.","Replace","Why it is included","Text states evidence, audience, provenance, limitations, and validation need.","Code-derived"
"CP061","High","#/build/resources","Collection label","Loaded","All","src/ui/pages/CommonsPage.tsx","","Official-Plus-Practical Pairing","Control Atlas","Product interpretation","Collection label","Canned metaphor","official-plus","1","Artificial branding obscures what is paired and why.","Feels generated and reduces trust.","Replace","Official source with implementation resources","Pairing exposes the matching rule and independent-validation warning.","Code-derived"
"CP062","Medium","#/build/resources","Section label","Loaded","All","src/ui/pages/CommonsPage.tsx","","public shared resource hub","Control Atlas","Product interpretation","Description","Generic marketing","shared-hub","1","Vague platform language does not identify contents or boundaries.","Adds cringe without orientation.","Delete","","Resources scope is defined by types, owners, and inclusion policy.","Code-derived"
"CP063","Medium","#/sources","Page heading","Loaded","All","src/ui/pages/SourcesPage.tsx","","Where the data comes from","Control Atlas","Navigation note","Heading","Generic opening","where-data","1","Useful question but canonical identity Sources is demoted.","Weak destination memory.","Replace","Sources","Lede: Provenance for records and published relationships in Control Atlas.","Live"
"CP064","Medium","#/sources","Cross-link","Loaded","All","src/ui/pages/SourcesPage.tsx","","Looking for practical compliance tools, templates, or communities?","Control Atlas","Navigation note","Prompt","Presumptive goal","looking-for","1","Long question occupies prime trust-register space and uses compliance tools.","Sources feels like a detour to Resources.","Replace","Tools, templates, training, and communities are in Build → Resources.","Compact boundary note follows the source inventory controls.","Live"
"CP065","Pass","#/sources","Page description","Loaded","All","src/ui/pages/SourcesPage.tsx","","This page lists the public sources used for the framework records and relationship evidence shown in Control Atlas.","Control Atlas","Product interpretation","Lede","Wordy","source-purpose","1","Accurate but longer than necessary.","Minor density cost.","Replace","Provenance for the records and published relationships in Control Atlas.","Trust register leads with search, coverage, status, and dates.","Live"
"CP066","Medium","#/sources","Inventory label","Loaded","All","src/ui/pages/SourcesPage.tsx","","Connection inventory","Control Atlas","Navigation","Tab or context label","Jargon","connection-inventory","1","Ambiguous next to Official source links.","Users cannot predict whether this means relationships or data feeds.","Replace","Published relationship sources","Label identifies the content class.","Live"
"CP067","High","#/about","Product description","Loaded","All","src/ui/pages/AboutPage.tsx","","plain English","Control Atlas","Product interpretation","Claim","Generic marketing","plain-english","1","Self-awarded clarity claim conflicts with dense jargon-heavy pages.","Feels promotional and unearned.","Replace","Control Atlas keeps official text and citations visible, with product-authored navigation notes labeled separately.","Claim becomes testable behavior.","Live"
"CP068","High","#/about","Tree metaphor","Loaded","All","src/ui/pages/AboutPage.tsx","","RMF is the trunk","Control Atlas","Product interpretation","Metaphor","Decorative metaphor","rmf-trunk","1","Makes RMF the structural core despite doctrine requiring it as an optional lens.","Misrepresents the canonical data model.","Delete","","Describe one record/relationship model with optional lenses; no metaphor assigns structural parentage.","Live"
"CP069","Medium","#/about","Tree metaphor","Loaded","All","src/ui/pages/AboutPage.tsx","","Roots / Trunk / Branches / Twigs / Junctions / Leaves / Fruit / Acorns","Control Atlas","Product interpretation","Explanatory model","Canned metaphor","tree-parts","8","Metaphor forces unlike concepts into one hierarchy.","Encourages false ancestry and adds memorization burden.","Replace","Records, hierarchy, applicability, mappings, evidence, and resources","Each class is defined directly and relationships are explicit.","Live"
"CP070","High","#/about","Quality claim","Loaded","All","src/ui/pages/AboutPage.tsx","","A gap in it is a defect we close.","Control Atlas","Product interpretation","Claim","Generic marketing","gap-defect","1","Absolute completeness claim is not credible for evolving public sources.","Users may infer exhaustive correctness.","Replace","Known coverage gaps and source limitations are published with the affected records.","Claim is backed by visible status data.","Live"
"CP071","Low","#/retired","Recovery","Invalid legacy route","All","src/ui/pages/RetiredRoutePage.tsx","","Some older links and saved settings are no longer supported.","System","System status","Recovery","Vague status","older-links","1","Does not name what was removed or why the parameter was discarded.","Users cannot repair a stale link.","Replace","This route was retired. Your unsupported route settings were removed; search terms and valid identifiers can be entered below.","Recovery states name retained/discarded state.","Live"
"CP072","Pass","Unknown route","Recovery","Invalid","All","src/ui/pages/NotFoundPage.tsx","","Page not found","System","System status","Error heading","None","not-found","1","Clear state.","None.","Keep","Page not found","Provides Home, Search, and Catalog exits.","Live"
"CP073","Medium","Generated documents","Boundary","All","All","src/app/template-engine.mjs","","Control Atlas does not determine compliance or replace official guidance.","Control Atlas","Product boundary","Disclaimer","Disclaimer repetition","not-official","multiple","Necessary in generated output but often duplicated with longer variants.","Boundary becomes boilerplate.","Consolidate","Starter only. Validate this document, scope, and cited sources with the responsible program and authorizing authority.","One document-level warning; no page-level duplicates in the export.","Code-derived"
"CP074","Medium","Multiple","Product-authored intros","Default","All","Multiple","","Do you want to…","Control Atlas","Navigation note","Prompt","Presumptive goal","do-you-want","7","Question openings repeat across seven surfaces.","Creates canned conversational tone and unnecessary words.","Replace","{Concrete action verb}","No major-surface heading begins with Do you want to.","Code-derived"
"CP075","Medium","Multiple","Product-authored intros","Default","All","Multiple","","Understand…","Control Atlas","Navigation note","Heading","Abstract opening","understand-opening","multiple","Abstract verb appears where a concrete action is available.","Users must infer what the interface does.","Replace","Open / Search / Compare / Filter / Download","Every major CTA describes the actual action.","Code-derived"
"CP076","Medium","Multiple","Product-authored intros","Default","All","Multiple","","Practical starting point","Control Atlas","Product interpretation","Helper","Platitude or slogan","practical-start","multiple","Repeated filler makes unlike workflows sound identical.","Copy feels generated and masks actual outcomes.","Delete","","Each surface names the specific source, record, comparison, or file the action produces.","Code-derived"
"CP077","High","Copy system","Extraction coverage","Audit","N/A","tools/extract-ui-copy.mjs","","TSX literal extraction","System","System status","Audit mechanism","Incomplete coverage","copy-extractor","1","Current extractor omits MJS, JSON, generated documents, dynamic interpolations, and some accessibility strings.","Green style checks cannot prove product-copy coverage.","Replace","Canonical copy manifest plus AST/data extraction with documented official-source exemptions","Test fails when a user-facing source class lacks speaker and authority metadata.","Code-derived"
"CP078","Exempt","Official record corpus","Official titles and text","All","All","data/*.json","","Publisher-supplied title, identifier, and official text","Official publisher","Official publisher","Source content","Explicit exemption","official-source-text","corpus","Official source text is not rewritten or scored for Control Atlas voice.","N/A.","Keep","","Audit verifies attribution, citation, truncation, and separation only.","Policy"
"CP079","Exempt","Resource external descriptions","Quoted publisher text","All","All","data/commons-resource-dataset.json","","Verbatim or attributed external resource description","External publisher","External publisher","Source content","Explicit exemption","external-source-text","corpus","External text is not rewritten when clearly attributed.","N/A.","Keep","","Every external description records source/owner and product notes are separate.","Policy"
"CP080","Exempt","Identifiers and formal labels","Official values","All","All","data/*.json","","AC-2 / DE.AE-08 / CCI / STIG / official publication names","Official publisher","Official publisher","Verification label","Explicit exemption","official-identifiers","corpus","Formal identifiers and necessary domain terms remain for precision.","N/A.","Keep","","Slugs/enums are resolved; official identifiers remain copyable.","Policy"
"CP081","Coverage","Global navigation","Canonical labels","All","All","src/ui/lib/navigation.ts","","Explore / Search / Catalog / Compare / Learn / Build / Sources / About","System","Navigation","Destination labels","Coverage rule","global-nav","global","Global labels are registered once rather than duplicated per appearance.","N/A.","Consolidate","Canonical destination registry","Visible label, URL, title, selected state, analytics, and context tests share one identity record.","Policy"
"CP082","Coverage","Dynamic counts and filters","Interpolated status","All","All","Multiple","","{count} results / {count} connections / selected filters","System","System status","Feedback","Coverage rule","dynamic-status","dynamic","Dynamic grammar and state feedback are covered as templates, not every numeric instance.","N/A.","Configure","{count} {singular/plural label}; active filters named; clear action present","Contract tests cover zero, one, many, loading, error, and invalid states.","Policy"
"CP083","Coverage","Screen-reader and tooltip copy","Accessible names","All","All","src/ui/components","","Open navigation menu / Close navigation menu / Open search / Copy link","System","Navigation","Accessible name","Coverage rule","accessible-actions","dynamic","Accessible names must be action-specific and match visible purpose.","N/A.","Configure","Action + object","Automated inventory rejects unlabeled icon-only controls and duplicate ambiguous names.","Policy"
"CP084","Coverage","Toasts and downloads","System feedback","All","All","Multiple","","Copied / Download prepared / generation failed","System","System status","Feedback","Coverage rule","system-feedback","dynamic","Status strings are covered as state templates.","N/A.","Configure","Name the object, result, and next action","Tests cover success, failure, retry, and disabled-state feedback.","Policy"
