"copy_id","final_status","current_disposition","current_evidence"
"CP051","Pass","Retired","Abstract Build eyebrow was removed."
"CP052","Pass","Corrected","Build heading uses the canonical destination identity."
"CP053","Pass","Corrected","Build introduces Tasks, Starter documents, and Resources without presuming user intent."
"CP054","Pass","Corrected","Baseline input has no default and cannot produce output until explicitly selected when required."
"CP055","Pass","Corrected","Resources loading copy uses current vocabulary."
"CP056","Pass","Corrected","Resources loading copy uses canonical destination identity."
"CP057","Pass","Corrected","Resources never recommends or determines applicability."
"CP058","Pass","Corrected","Resources scope is defined in one factual sentence."
"CP059","Pass","Corrected","Resources removes generic marketing."
"CP060","Pass","Corrected","Resource cards expose owner, provenance, limitations, link status, and match evidence."
"CP061","Pass","Retired","Editorial collection labels and collection data were removed."
"CP062","Pass","Retired","Generic Resources section label was removed."
"CP063","Pass","Corrected","Sources heading names the provenance register."
"CP064","Pass","Corrected","Sources cross-links name destinations without presuming a goal."
"CP065","Pass","Corrected","Sources description is concise and exact."
"CP066","Pass","Corrected","Sources inventory labels use plain provenance language."
"CP067","Pass","Corrected","About uses the owner-approved practitioner identity and direct decision boundary."
"CP068","Pass","Retired","Decorative tree doctrine metaphor was removed."
"CP069","Pass","Corrected","About describes publisher-declared hierarchy literally."
"CP070","Pass","Corrected","About avoids self-awarded quality claims."
"CP071","Pass","Corrected","Retired-route recovery names the unavailable destination and concrete next actions."
"CP072","Pass","Keep","Unknown-route recovery remains specific."
"CP073","Pass","Consolidated","Generated documents carry one boundary at the output risk point."
"CP074","Pass","Corrected","Product-authored introductions do not presume user goals."
"CP075","Pass","Corrected","Product-authored introductions name concrete objects or actions."
"CP076","Pass","Retired","Repeated practical-starting-point filler was removed."
"CP077","Pass","Corrected","Copy extraction covers TS, TSX, MJS, JSON, generated, accessible, and system-feedback classes."
"CP078","Exempt","Keep","Official record titles and text remain verbatim source material."
"CP079","Exempt","Keep","Publisher resource descriptions remain attributed quotations."
"CP080","Exempt","Keep","Official identifiers and formal labels remain unchanged."
"CP081","Pass","Consolidated","Global navigation consumes canonical destination labels."
"CP082","Pass","Configured","Dynamic counts and filters are generated from validated state."
"CP083","Pass","Configured","Accessible names and tooltip copy are included in speaker-aware extraction."
"CP084","Pass","Configured","Toast and download feedback are included in speaker-aware extraction."
